rate,sent,received,loss_pct
10000,99995,99995,0.0
30000,299992,299992,0.0
50000,499993,499993,0.0
70000,699993,699993,0.0
100000,999991,999991,0.0
120000,1199977,1199977,0.0
150000,1499977,1390715,7.28
